city,$/sqft,propertyUrl,zestimate,price,zipcode,Price,beds,priceHistory,state,street,baths,Date,sqfts,ownerPhone,Event
Belmar,Weichert Realt...,http://www.zillow.com/homedetails/102-15th-Ave-Belmar-NJ-07719/39224773_zpid/,"$434,124","$796,500",07719,$854,3 beds,,NJ,102 15th Ave,3 baths,12/13/15,932 sqft,,Listed for sale
Belmar,Public Record,http://www.zillow.com/homedetails/102-15th-Ave-Belmar-NJ-07719/39224773_zpid/,"$434,124","$796,500",07719,$762,3 beds,,NJ,102 15th Ave,3 baths,03/10/09,932 sqft,,Sold
Belmar,Public Record,http://www.zillow.com/homedetails/102-15th-Ave-Belmar-NJ-07719/39224773_zpid/,"$434,124","$796,500",07719,$150,3 beds,,NJ,102 15th Ave,3 baths,09/14/00,932 sqft,,Sold
Belmar,Public Record,http://www.zillow.com/homedetails/102-15th-Ave-Belmar-NJ-07719/39224773_zpid/,"$434,124","$796,500",07719,$139,3 beds,,NJ,102 15th Ave,3 baths,05/05/97,932 sqft,,Sold
Newark,Rosa Agency-Ir...,http://www.zillow.com/homedetails/66-Vincent-St-Newark-NJ-07105/38703753_zpid/,"$277,619","$339,900",07105,$205,6 beds,,NJ,66 Vincent St,4 baths,10/27/15,"1,656 sqft",,Listed for sale
Newark,Public Record,http://www.zillow.com/homedetails/66-Vincent-St-Newark-NJ-07105/38703753_zpid/,"$277,619","$339,900",07105,$186,6 beds,,NJ,66 Vincent St,4 baths,12/15/09,"1,656 sqft",,Sold
Dumont,Friedberg Prop...,http://www.zillow.com/homedetails/70-Hillcrest-Dr-Dumont-NJ-07628/37872703_zpid/,"$390,476","$399,999",07628,$229,3 beds,,NJ,70 Hillcrest Dr,2 baths,10/29/15,"1,740 sqft",,Listed for sale
Newark,Public Record,http://www.zillow.com/homedetails/66-Vincent-St-Newark-NJ-07105/38703753_zpid/,"$277,619","$339,900",07105,$60,6 beds,,NJ,66 Vincent St,4 baths,10/27/08,"1,656 sqft",,Sold
Dumont,Public Record,http://www.zillow.com/homedetails/70-Hillcrest-Dr-Dumont-NJ-07628/37872703_zpid/,"$390,476","$399,999",07628,$229,3 beds,,NJ,70 Hillcrest Dr,2 baths,01/04/05,"1,740 sqft",,Sold
Newark,NCI,http://www.zillow.com/homedetails/66-Vincent-St-Newark-NJ-07105/38703753_zpid/,"$277,619","$339,900",07105,$114,6 beds,,NJ,66 Vincent St,4 baths,09/16/08,"1,656 sqft",,Listing removed
Newark,NCI,http://www.zillow.com/homedetails/66-Vincent-St-Newark-NJ-07105/38703753_zpid/,"$277,619","$339,900",07105,$114,6 beds,,NJ,66 Vincent St,4 baths,08/27/08,"1,656 sqft",,Listed for sale
Newark,Public Record,http://www.zillow.com/homedetails/66-Vincent-St-Newark-NJ-07105/38703753_zpid/,"$277,619","$339,900",07105,$0,6 beds,,NJ,66 Vincent St,4 baths,10/24/07,"1,656 sqft",,Sold: 
Newark,Public Record,http://www.zillow.com/homedetails/66-Vincent-St-Newark-NJ-07105/38703753_zpid/,"$277,619","$339,900",07105,$233,6 beds,,NJ,66 Vincent St,4 baths,07/01/05,"1,656 sqft",,Sold
Newark,Public Record,http://www.zillow.com/homedetails/66-Vincent-St-Newark-NJ-07105/38703753_zpid/,"$277,619","$339,900",07105,$204,6 beds,,NJ,66 Vincent St,4 baths,12/03/03,"1,656 sqft",,Sold
Newark,Public Record,http://www.zillow.com/homedetails/66-Vincent-St-Newark-NJ-07105/38703753_zpid/,"$277,619","$339,900",07105,$82,6 beds,,NJ,66 Vincent St,4 baths,12/14/98,"1,656 sqft",,Sold
