city,propertyUrl,zestimate,price,zipcode,beds,priceHistory,state,street,baths,sqfts,ownerPhone
Harborcreek,http://www.zillow.com/homedetails/Old-Shades-Beach-Rd-Harborcreek-PA-16421/2105360859_zpid/,,"$25,000",16421,,,PA,Old Shades Beach Rd,,,(814) 882-3621 
Springfield,http://www.zillow.com/homedetails/204-W-Perrin-Ave-Springfield-OH-45506/33320656_zpid/,"$62,405",,45506,3 beds,,OH,204 W Perrin Ave,2.5 baths,"1,866 sqft",
Lake Tapps,http://www.zillow.com/homedetails/2828-206th-Avenue-Ct-E-Lake-Tapps-WA-98391/49335582_zpid/,"$676,665","$800,000",98391,5 beds,,WA,2828 206th Avenue Ct E,3 baths,"3,258 sqft",
Portland,http://www.zillow.com/homedetails/14635-SE-Caruthers-St-Portland-OR-97233/53829792_zpid/,"$189,120",,97233,3 beds,,OR,14635 SE Caruthers St,1 bath,864 sqft,
Cincinnati,http://www.zillow.com/homedetails/215-W-Seymour-Ave-Cincinnati-OH-45216/34267636_zpid/,"$53,879",,45216,2 beds,,OH,215 W Seymour Ave,1 bath,"1,084 sqft",
Lancaster,http://www.zillow.com/homedetails/220-Edgewood-Ave-Lancaster-OH-43130/33814671_zpid/,"$81,566",,43130,3 beds,,OH,220 Edgewood Ave,1 bath,"1,200 sqft",
Benton,http://www.zillow.com/homedetails/209-S-Court-St-Benton-IL-62812/2123131570_zpid/,"$105,074","$79,900",62812,3 beds,,IL,209 S Court St,2 baths,"1,800 sqft",(618) 771-9177 
Saint Louis,http://www.zillow.com/homedetails/3733-Salome-Ave-Saint-Louis-MO-63121/2706494_zpid/,"$119,113",,63121,6 beds,,MO,3733 Salome Ave,2 baths,"3,387 sqft",
Chicago,http://www.zillow.com/homedetails/4647-N-Winthrop-Ave-Chicago-IL-60640/2118308086_zpid/,"$884,269","$800,000",60640,5 beds,,IL,4647 N Winthrop Ave,3 baths,"4,243 sqft",
Seattle,http://www.zillow.com/homedetails/5108-S-Myrtle-St-Seattle-WA-98118/48817419_zpid/,"$431,908","$499,999",98118,3 beds,,WA,5108 S Myrtle St,1.75 baths,"1,230 sqft",
Pomeroy,http://www.zillow.com/homedetails/60-Heaton-Gulch-Rd-Pomeroy-WA-99347/2102725970_zpid/,,"$239,500",99347,3 beds,,WA,60 Heaton Gulch Rd,2 baths,"1,500 sqft",
Chicago,http://www.zillow.com/homedetails/6910-S-Chappel-Ave-Chicago-IL-60649/4001222_zpid/,"$204,510","$396,000",60649,5 beds,,IL,6910 S Chappel Ave,3 baths,"2,440 sqft",
Brooklyn,http://www.zillow.com/homedetails/1317-E-57th-St-Brooklyn-NY-11234/30764864_zpid/,"$417,737",,11234,4 beds,,NY,1317 E 57th St,3 baths,"1,596 sqft",
Ely,http://www.zillow.com/homedetails/1006-S-1st-Ave-E-Ely-MN-55731/72238370_zpid/,"$196,386",,55731,3 beds,,MN,1006 S 1st Ave E,3 baths,"3,168 sqft",
Schaumburg,http://www.zillow.com/homedetails/901-Surrey-Dr-APT-1B-Schaumburg-IL-60193/3438757_zpid/,"$136,038",,60193,3 beds,,IL,901 Surrey Dr APT 1B,2 baths,"1,200 sqft",
Elkhart,http://www.zillow.com/homedetails/318-Sherman-St-Elkhart-IN-46516/50606734_zpid/,"$43,543",,46516,3 beds,,IN,318 Sherman St,2 baths,"1,392 sqft",
Crest Hill,http://www.zillow.com/homedetails/2327-Parkrose-Ave-Crest-Hill-IL-60403/5387938_zpid/,"$110,807",,60403,4 beds,,IL,2327 Parkrose Ave,1.5 baths,-- sqft,
Monroeville,http://www.zillow.com/homedetails/14607-Houk-Rd-Monroeville-IN-46773/73197577_zpid/,,"$600,000",46773,4 beds,,IN,14607 Houk Rd,4 baths,"5,800 sqft",
Streamwood,http://www.zillow.com/homedetails/360-Ascot-Ln-Streamwood-IL-60107/3382866_zpid/,"$160,827","$165,000",60107,2 beds,,IL,360 Ascot Ln,1.5 baths,"1,327 sqft",
Dolton,http://www.zillow.com/homedetails/15123-Minerva-Ave-UNIT-1N-Dolton-IL-60419/4255586_zpid/,"$52,761",,60419,2 beds,,IL,15123 Minerva Ave UNIT 1N,2 baths,-- sqft,
Englewood,http://www.zillow.com/homedetails/5949-S-Ada-St-S-Englewood-IL-60621/2101239147_zpid/,"$129,644","$40,000",60621,5 beds,,IL,5949 S Ada St S,2 baths,"1,800 sqft",
Frankfort,http://www.zillow.com/homedetails/19543-Collin-Dr-Frankfort-IL-60423/5442474_zpid/,"$306,988","$324,000",60423,5 beds,,IL,19543 Collin Dr,3 baths,"2,800 sqft",(815) 342-7952 
La Mesa,http://www.zillow.com/homedetails/5828-Clay-Ave-La-Mesa-CA-91942/17028961_zpid/,"$505,403","$539,000",91942,4 beds,,CA,5828 Clay Ave,2 baths,"2,100 sqft",
Lockport,http://www.zillow.com/homedetails/418-N-Farrell-Rd-Lockport-IL-60441/5432143_zpid/,"$135,995",,60441,5 beds,,IL,418 N Farrell Rd,2 baths,1 sqft,
Henderson,http://www.zillow.com/homedetails/100-N-Main-St-Henderson-IL-61439/91374982_zpid/,"$68,047","$57,800",61439,3 beds,,IL,100 N Main St,2 baths,"2,200 sqft",(309) 371-9612 
Henderson,http://www.zillow.com/homedetails/100-N-Main-Henderson-IL-61439/2100815522_zpid/,"$97,208","$57,800",61439,3 beds,,IL,100 N Main,2 baths,"2,200 sqft",
Chicago,http://www.zillow.com/homedetails/7408-S-Sangamon-St-Chicago-IL-60621/4008779_zpid/,"$68,647",,60621,4 beds,,IL,7408 S Sangamon St,2 baths,"1,596 sqft",
Yorkville,http://www.zillow.com/homedetails/1472-Crimson-Ln-Yorkville-IL-60560/112925266_zpid/,"$138,722",,60560,3 beds,,IL,1472 Crimson Ln,2.5 baths,"1,521 sqft",
Chicago,http://www.zillow.com/homedetails/2955-N-Kedzie-Ave-2-Chicago-IL-60618/89947513_zpid/,"$137,162","$210,000",60618,2 beds,,IL,2955 N Kedzie Ave #2,1 bath,900 sqft,
Maywood,http://www.zillow.com/homedetails/1601-S-8th-Ave-Maywood-IL-60153/3764770_zpid/,"$106,037",,60153,4 beds,,IL,1601 S 8th Ave,2 baths,"1,388 sqft",
Bolingbrook,http://www.zillow.com/homedetails/167-Arrowhead-Ln-Bolingbrook-IL-60440/5399284_zpid/,"$138,057",,60440,5 beds,,IL,167 Arrowhead Ln,2 baths,"1,210 sqft",
Hinsdale,http://www.zillow.com/homedetails/447-58th-Pl-2A-1W-Hinsdale-IL-60521/4573339_zpid/,"$163,363",,60521,2 beds,,IL,447 58th Pl # 2A-1W,2 baths,"1,030 sqft",
Oak Lawn,http://www.zillow.com/homedetails/4754-W-101st-St-Oak-Lawn-IL-60453/50448591_zpid/,"$46,849",,60453,1 bed,,IL,4754 W 101st St,1 bath,750 sqft,
Villa Park,http://www.zillow.com/homedetails/119-N-3rd-Ave-Villa-Park-IL-60181/4466591_zpid/,"$162,154",,60181,2 beds,,IL,119 N 3rd Ave,1 bath,"1,067 sqft",
Montgomery,http://www.zillow.com/homedetails/6-Wyndham-Dr-Montgomery-IL-60538/4730833_zpid/,"$129,964",,60538,3 beds,,IL,6 Wyndham Dr,1.5 baths,"1,273 sqft",
Montgomery,http://www.zillow.com/homedetails/1921-Windette-Dr-Montgomery-IL-60538/61488870_zpid/,"$190,823",,60538,4 beds,,IL,1921 Windette Dr,2.5 baths,"2,535 sqft",
Glendale Heights,http://www.zillow.com/homedetails/1371-Davine-Dr-Glendale-Heights-IL-60139/4392652_zpid/,"$185,347",,60139,5 beds,,IL,1371 Davine Dr,2 baths,"1,800 sqft",
Fresno,http://www.zillow.com/homedetails/7623-N-Meridian-Ave-Fresno-CA-93720/18693647_zpid/,"$382,934","$445,170",93720,4 beds,,CA,7623 N Meridian Ave,2.75 baths,"2,698 sqft",(559) 907-4134 
Port Hueneme,http://www.zillow.com/homedetails/209-S-Ventura-Rd-UNIT-26-Port-Hueneme-CA-93041/16402227_zpid/,"$184,555",,93041,2 beds,,CA,209 S Ventura Rd UNIT 26,1.5 baths,965 sqft,
Yorkville,http://www.zillow.com/homedetails/335-Bertram-Dr-Yorkville-IL-60560/89042892_zpid/,"$158,756",,60560,3 beds,,IL,335 Bertram Dr,2.5 baths,-- sqft,
Glen Ellyn,http://www.zillow.com/homedetails/37-Briar-St-APT-13-Glen-Ellyn-IL-60137/89184459_zpid/,"$68,299",,60137,2 beds,,IL,37 Briar St APT 13,1 bath,900 sqft,
San Bernardino,http://www.zillow.com/homedetails/2394-Walnut-St-San-Bernardino-CA-92410/17229234_zpid/,"$266,911","$290,000",92410,4 beds,,CA,2394 Walnut St,2 baths,"1,442 sqft",(951) 250-3434 
Warrenville,http://www.zillow.com/homedetails/29W741-Galbreath-Dr-Warrenville-IL-60555/4424474_zpid/,"$195,738",,60555,4 beds,,IL,29W741 Galbreath Dr,2 baths,"1,878 sqft",
Hacienda Heights,http://www.zillow.com/homedetails/15302-Los-Altos-Dr-Hacienda-Heights-CA-91745/21490685_zpid/,"$613,148","$620,000",91745,3 beds,,CA,15302 Los Altos Dr,2 baths,"1,384 sqft",(210) 807-0228 
Bolingbrook,http://www.zillow.com/homedetails/333-Lakeside-Dr-Bolingbrook-IL-60440/5402517_zpid/,"$153,136",,60440,3 beds,,IL,333 Lakeside Dr,1 bath,"1,332 sqft",
Batavia,http://www.zillow.com/homedetails/348-N-Jefferson-St-Batavia-IL-60510/4674159_zpid/,"$302,387",,60510,4 beds,,IL,348 N Jefferson St,3 baths,"2,335 sqft",
Citrus Heights,http://www.zillow.com/homedetails/7547-Prince-St-Citrus-Heights-CA-95610/25982628_zpid/,"$256,071",,95610,3 beds,,CA,7547 Prince St,1 bath,"1,524 sqft",
Victorville,http://www.zillow.com/homedetails/16467-Silica-Dr-Victorville-CA-92395/17632718_zpid/,"$132,605",,92395,3 beds,,CA,16467 Silica Dr,2 baths,"1,244 sqft",
Fairfield,http://www.zillow.com/homedetails/5136-Pond-Side-Way-Fairfield-CA-94534/63157733_zpid/,"$406,703",,94534,4 beds,,CA,5136 Pond Side Way,2.5 baths,"2,248 sqft",
San Francisco,http://www.zillow.com/homedetails/330-21st-Ave-San-Francisco-CA-94121/15091961_zpid/,"$1,809,675",,94121,5 beds,,CA,330 21st Ave,2 baths,"2,525 sqft",
Perris,http://www.zillow.com/homedetails/337-E-6th-St-Perris-CA-92570/17901503_zpid/,Price Unknown,,92570,4 beds,,CA,337 E 6th St,2 baths,"1,400 sqft",
Laguna Hills,http://www.zillow.com/homedetails/23491-Via-Jacinto-Laguna-Hills-CA-92656/25542141_zpid/,"$336,248",,92656,3 beds,,CA,23491 Via Jacinto,2 baths,"1,246 sqft",
Cabazon,http://www.zillow.com/homedetails/14714-Manzanillo-St-Cabazon-CA-92230/18033157_zpid/,"$124,275",,92230,3 beds,,CA,14714 Manzanillo St,1 bath,924 sqft,
Hemet,http://www.zillow.com/homedetails/221-Ruby-Ave-Hemet-CA-92543/17986317_zpid/,"$135,724",,92543,2 beds,,CA,221 Ruby Ave,2 baths,"1,168 sqft",
La Habra,http://www.zillow.com/homedetails/309-W-Rose-Ave-La-Habra-CA-90631/25107519_zpid/,"$396,063",,90631,5 beds,,CA,309 W Rose Ave,3 baths,"1,513 sqft",
Riverside,http://www.zillow.com/homedetails/16350-Sun-Summit-Dr-Riverside-CA-92503/17800317_zpid/,"$441,676",,92503,3 beds,,CA,16350 Sun Summit Dr,2 baths,"2,405 sqft",
Norco,http://www.zillow.com/homedetails/2851-Huerta-Way-Norco-CA-92860/17787693_zpid/,"$403,759",,92860,5 beds,,CA,2851 Huerta Way,2 baths,"2,036 sqft",
Hemet,http://www.zillow.com/homedetails/41355-Ladd-Ct-Hemet-CA-92544/17984381_zpid/,"$169,137",,92544,3 beds,,CA,41355 Ladd Ct,2 baths,"1,220 sqft",
Whittier,http://www.zillow.com/homedetails/9502-Amsdell-Ave-Whittier-CA-90605/21440727_zpid/,"$396,913",,90605,4 beds,,CA,9502 Amsdell Ave,2 baths,"1,518 sqft",
Hemet,http://www.zillow.com/homedetails/601-S-Taylor-St-Hemet-CA-92543/17980891_zpid/,"$125,154",,92543,2 beds,,CA,601 S Taylor St,1 bath,"1,072 sqft",
San Pedro,http://www.zillow.com/homedetails/1415-N-Meyler-St-San-Pedro-CA-90731/21304110_zpid/,"$598,638",,90731,4 beds,,CA,1415 N Meyler St,2 baths,"2,258 sqft",
Jamaica,http://www.zillow.com/homedetails/19104-Woodhull-Ave-Jamaica-NY-11423/32153443_zpid/,"$477,299",,11423,3 beds,,NY,19104 Woodhull Ave,2 baths,"2,050 sqft",
Brooklyn Park,http://www.zillow.com/homedetails/2736-Brookdale-Ln-Brooklyn-Park-MN-55444/1939344_zpid/,"$65,790",,55444,2 beds,,MN,2736 Brookdale Ln,1 bath,924 sqft,
