city,propertyUrl,zestimate,price,zipcode,beds,priceHistory,state,street,baths,sqfts,ownerPhone
Bellefontaine,http://www.zillow.com/homedetails/1000-Garfield-Ave-LOT-55-Bellefontaine-OH-43311/2100489647_zpid/,,"$9,800",43311,2 beds,,OH,1000 Garfield Ave LOT 55,1 bath,858 sqft,(937) 844-3136 
Stow,http://www.zillow.com/homedetails/1412-Apache-Trl-Stow-OH-44224/35394787_zpid/,"$143,047","$159,900",44224,3 beds,,OH,1412 Apache Trl,2 baths,"1,223 sqft",(330) 620-6450 
Portland,http://www.zillow.com/homedetails/2625-NE-26th-Ave-Portland-OR-97212/53896264_zpid/,"$775,777","$715,000",97212,4 beds,,OR,2625 NE 26th Ave,2 baths,"2,136 sqft",(503) 442-6446 
Beavercreek,http://www.zillow.com/homedetails/26164-S-Gard-Rd-Beavercreek-OR-97004/48287956_zpid/,,"$799,000",97004,4 beds,,OR,26164 S Gard Rd,2 baths,"4,505 sqft",(503) 759-3374 
Portland,http://www.zillow.com/homedetails/110-NE-39th-Ave-Portland-OR-97232/53900521_zpid/,"$763,463","$925,000",97232,4 beds,,OR,110 NE 39th Ave,4 baths,"4,100 sqft",
Cincinnati,http://www.zillow.com/homedetails/7778-Rock-Hill-Ln-Cincinnati-OH-45243/34317290_zpid/,"$873,884","$849,000",45243,4 beds,,OH,7778 Rock Hill Ln,4 baths,"3,425 sqft",(513) 253-9777 
Rocky River,http://www.zillow.com/homedetails/1907-Wynwood-Dr-Rocky-River-OH-44116/2107624248_zpid/,,"$199,000",44116,,,OH,1907 Wynwood Dr,,,(330) 526-8316 
Brainerd,http://www.zillow.com/homedetails/9799-Lakeside-Road-1-Brainerd-MN-56401/2100477719_zpid/,,"$61,995",56401,2 beds,,MN,9799 Lakeside Road #1,1 bath,400 sqft,(320) 291-1552 
New Middletown,http://www.zillow.com/homedetails/4720-Middletown-Rd-E-New-Middletown-OH-44442/34783930_zpid/,"$164,351","$164,000",44442,5 beds,,OH,4720 Middletown Rd E,3 baths,"2,288 sqft",(330) 398-4104 
Celina,http://www.zillow.com/homedetails/505-E-Fulton-St-Celina-OH-45822/86582609_zpid/,"$131,705","$122,500",45822,4 beds,,OH,505 E Fulton St,3 baths,"1,944 sqft",(419) 733-9316 
South Euclid,http://www.zillow.com/homedetails/3790-Fairoaks-Rd-South-Euclid-OH-44121/33663768_zpid/,"$69,833","$80,000",44121,3 beds,,OH,3790 Fairoaks Rd,2 baths,"1,272 sqft",(216) 633-6812 
Waterville,http://www.zillow.com/homedetails/8606-Dutch-Rd-Waterville-OH-43566/34758772_zpid/,"$158,310","$145,000",43566,3 beds,,OH,8606 Dutch Rd,1.5 baths,"1,440 sqft",(702) 503-4998 
Cleveland Heights,http://www.zillow.com/homedetails/3090-Washington-Blvd-Cleveland-Heights-OH-44118/33657287_zpid/,"$177,764","$199,999",44118,5 beds,,OH,3090 Washington Blvd,2 baths,"1,905 sqft",(440) 895-0847 
Dayton,http://www.zillow.com/homedetails/3381-Old-Salem-Rd-3383-Dayton-OH-45415/35020264_zpid/,"$128,610","$104,500",45415,4 beds,,OH,3381 Old Salem Rd # 3383,2 baths,"1,828 sqft",(937) 267-6842 
Lorain,http://www.zillow.com/homedetails/1303-W-10th-St-Lorain-OH-44052/34543019_zpid/,"$68,983","$70,000",44052,3 beds,,OH,1303 W 10th St,1 bath,"1,618 sqft",(614) 453-0660 
Pittsburgh,http://www.zillow.com/homedetails/663-Hestor-Dr-Pittsburgh-PA-15220/11356017_zpid/,"$93,556","$135,000",15220,3 beds,,PA,663 Hestor Dr,1 bath,920 sqft,(603) 209-6705 
Lancaster,http://www.zillow.com/homedetails/1006-Ayres-Ct-Lancaster-PA-17602/9734723_zpid/,"$116,939","$133,500",17602,3 beds,,PA,1006 Ayres Ct,2.5 baths,"1,320 sqft",(717) 629-2276 
Brooklyn,http://www.zillow.com/homedetails/540-Ocean-Pkwy-APT-6B-Brooklyn-NY-11218/79716160_zpid/,"$465,875","$430,000",11218,2 beds,,NY,540 Ocean Pkwy APT 6B,1 bath,"1,050 sqft",(347) 628-1162 
Elmira,http://www.zillow.com/homedetails/307-W-Hill-Road-A-Elmira-NY-14903/29962753_zpid/,"$178,385","$169,000",14903,3 beds,,NY,307 W Hill Road A,2 baths,"1,804 sqft",(754) 422-8243 
Center Moriches,http://www.zillow.com/homedetails/229-Chichester-Ave-Center-Moriches-NY-11934/59518780_zpid/,"$258,282","$299,999",11934,3 beds,,NY,229 Chichester Ave,1 bath,"1,200 sqft",(516) 924-1007 
Lake Placid,http://www.zillow.com/homedetails/371-Mirror-Lake-Dr-Lake-Placid-NY-12946/30429595_zpid/,"$967,406","$825,000",12946,5 beds,,NY,371 Mirror Lake Dr,3 baths,"3,850 sqft",(518) 524-2595 
Brooklyn,http://www.zillow.com/homedetails/Sheepshead-Bay-Brooklyn-NY-11235/2104957216_zpid/,"$415,259","$165,000",11235,2 beds,,NY,Sheepshead Bay,1 bath,900 sqft,(917) 586-2816 
Bronx,http://www.zillow.com/homedetails/(Undisclosed-Address)-Bronx-NY-10458/2100475452_zpid/,,"$419,000",10458,9 beds,,NY,(Undisclosed Address),4 baths,-- sqft,(914) 233-4409 
Manhasset,http://www.zillow.com/homedetails/26-Hemlock-Rd-Manhasset-NY-11030/31083854_zpid/,"$2,000,580","$2,275,000",11030,5 beds,,NY,26 Hemlock Rd,5 baths,"4,773 sqft",
Walden,http://www.zillow.com/homedetails/710-State-Route-52-Walden-NY-12586/31834088_zpid/,"$330,959","$465,000",12586,5 beds,,NY,710 State Route 52,3.5 baths,"3,152 sqft",(845) 591-4724 
Roscoe,http://www.zillow.com/homedetails/1149-Hankins-Rd-Roscoe-NY-12776/2134341814_zpid/,"$327,938","$239,900",12776,3 beds,,NY,1149 Hankins Rd,3 baths,"1,608 sqft",(917) 439-3010 
Buffalo,http://www.zillow.com/homedetails/132-Burgard-Pl-Buffalo-NY-14211/30195510_zpid/,"$41,236","$45,000",14211,4 beds,,NY,132 Burgard Pl,1 bath,"1,449 sqft",(647) 606-1187 
Windham,http://www.zillow.com/homedetails/523-County-Route-21-Windham-NY-12496/30507662_zpid/,"$338,272","$399,000",12496,5 beds,,NY,523 County Route 21,3 baths,"3,200 sqft",(518) 821-8822 
Lake Placid,http://www.zillow.com/homedetails/205-Mckinley-St-Lake-Placid-NY-12946/30426479_zpid/,"$185,108","$215,000",12946,3 beds,,NY,205 Mckinley St,1 bath,"1,200 sqft",(609) 731-3972 
Brooklyn,http://www.zillow.com/homedetails/10011-Avenue-N-Brooklyn-NY-11236/2116771050_zpid/,,"$459,000",11236,2 beds,,NY,10011 Avenue N,2 baths,"1,975 sqft",(917) 496-3974 
Stony Point,http://www.zillow.com/homedetails/41-Wilderness-Dr-Stony-Point-NY-10980/32399461_zpid/,"$684,979","$695,000",10980,5 beds,,NY,41 Wilderness Dr,4 baths,"3,600 sqft",(845) 271-9866 
Darien Center,http://www.zillow.com/homedetails/10325-Harper-Rd-Darien-Center-NY-14040/30482212_zpid/,"$247,833","$254,900",14040,3 beds,,NY,10325 Harper Rd,3 baths,"3,150 sqft",(585) 356-2811 
Middle Island,http://www.zillow.com/homedetails/19-Flicker-Dr-Middle-Island-NY-11953/59485461_zpid/,"$285,281","$395,000",11953,3 beds,,NY,19 Flicker Dr,2.5 baths,"1,860 sqft",(631) 484-5658 
Alplaus,http://www.zillow.com/homedetails/33-Hill-St-Alplaus-NY-12008/32486898_zpid/,"$254,052","$255,000",12008,5 beds,,NY,33 Hill St,3 baths,"2,554 sqft",(518) 384-1955 
Little Neck,http://www.zillow.com/homedetails/25220-63rd-Ave-Little-Neck-NY-11362/79515210_zpid/,"$153,758","$188,000",11362,1 bed,,NY,25220 63rd Ave,1 bath,-- sqft,
North Branch,http://www.zillow.com/homedetails/10-Ryan-Rd-North-Branch-NY-12766/32762983_zpid/,"$250,604","$289,000",12766,3 beds,,NY,10 Ryan Rd,2.5 baths,"3,000 sqft",(845) 482-5259 
Stamford,http://www.zillow.com/homedetails/28647-State-Highway-23-Stamford-NY-12167/2107538362_zpid/,"$231,058","$155,500",12167,3 beds,,NY,28647 State Highway 23,2 baths,"1,500 sqft",(607) 652-2614 
Freeport,http://www.zillow.com/homedetails/3-Noon-Pl-Freeport-NY-11520/31412148_zpid/,"$424,667","$339,000",11520,4 beds,,NY,3 Noon Pl,2.5 baths,"2,321 sqft",(718) 755-4233 
Queensbury,http://www.zillow.com/homedetails/9-Lester-Dr-Queensbury-NY-12804/32929948_zpid/,"$194,699","$229,000",12804,4 beds,,NY,9 Lester Dr,2 baths,"2,099 sqft",(518) 232-4728 
Katonah,http://www.zillow.com/homedetails/25-Fisher-Ln-Katonah-NY-10536/33007421_zpid/,"$472,118","$359,999",10536,3 beds,,NY,25 Fisher Ln,1 bath,900 sqft,(914) 755-8836 
Angelica,http://www.zillow.com/homedetails/7461-Peavy-Rd-Angelica-NY-14709/29623016_zpid/,"$139,634","$265,000",14709,4 beds,,NY,7461 Peavy Rd,2 baths,"2,592 sqft",(716) 238-3279 
Richmond Hill,http://www.zillow.com/homedetails/10122-121st-Street-Richmond-Hill-NY-11419/2101323014_zpid/,"$631,100","$649,999",11419,6 beds,,NY,10122 121st Street,3 baths,-- sqft,(917) 705-0410 
Woodbourne,http://www.zillow.com/homedetails/6-Kahn-Dr-Woodbourne-NY-12788/32767457_zpid/,"$156,464","$149,000",12788,3 beds,,NY,6 Kahn Dr,3 baths,"2,178 sqft",(787) 590-2807 
Far Rockaway,http://www.zillow.com/homedetails/429-Beach-141st-St-Far-Rockaway-NY-11694/32228400_zpid/,"$714,299","$935,000",11694,3 beds,,NY,429 Beach 141st St,2.5 baths,"1,755 sqft",(917) 833-5069 
Schenectady,http://www.zillow.com/homedetails/38-Cindy-Crest-Dr-Schenectady-NY-12306/32501680_zpid/,"$284,088","$259,900",12306,4 beds,,NY,38 Cindy Crest Dr,2 baths,"3,089 sqft",(518) 423-7514 
