city,propertyUrl,zestimate,price,zipcode,beds,priceHistory,state,street,baths,sqfts,ownerPhone
West Chester,http://www.zillow.com/homedetails/144-Weedon-Ct-West-Chester-PA-19380/9174830_zpid/,"$208,744 ","$239,900 ",19380,3 beds,,PA,144 Weedon Ct,1.5 baths,"1,540 sqft",(610) 363-6215 
Broomall,http://www.zillow.com/homedetails/494-Paxon-Hollow-Rd-Broomall-PA-19008/9395388_zpid/,"$627,718 ","$590,000 ",19008,5 beds,,PA,494 Paxon Hollow Rd,5 baths,"5,700 sqft",(215) 893-9722 
Glen Mills,http://www.zillow.com/homedetails/1582-Middletown-Rd-Glen-Mills-PA-19342/9364085_zpid/,"$617,162 ","$629,900 ",19342,4 beds,,PA,1582 Middletown Rd,4 baths,"4,114 sqft",(610) 203-6662 
Hanford,http://www.zillow.com/homedetails/704-W-Malone-St-Hanford-CA-93230/51072662_zpid/,"$111,693 ","$145,000 ",93230,3 beds,,CA,704 W Malone St,1 bath,"1,026 sqft",(559) 381-2154 
Lakehead,http://www.zillow.com/homedetails/21850-Lakeshore-Drive-Lakehead-CA-96051/2101001803_zpid/,"$217,144 ","$279,000 ",96051,3 beds,,CA,21850 Lakeshore Drive,2.5 baths,"1,700 sqft",(530) 355-5334 
Minersville,http://www.zillow.com/homedetails/618-N-Front-St-Minersville-PA-17954/2103870612_zpid/,"$104,356 ","$127,900 ",17954,2 beds,,PA,618 N Front St,1 bath,"1,464 sqft",(570) 544-4613 
El Cajon,http://www.zillow.com/homedetails/11716-Avenida-Marcella-El-Cajon-CA-92019/17042461_zpid/,"$480,635 ","$479,900 ",92019,3 beds,,CA,11716 Avenida Marcella,3 baths,"1,596 sqft",
Hollidaysburg,http://www.zillow.com/homedetails/414-Penn-St-Hollidaysburg-PA-16648/86401124_zpid/,"$136,538 ","$137,500 ",16648,3 beds,,PA,414 Penn St,1.5 baths,"1,300 sqft",(724) 986-9384 
Chester,http://www.zillow.com/homedetails/613-E-7th-St-Chester-PA-19013/9466463_zpid/,"$63,206 ","$50,000 ",19013,3 beds,,PA,613 E 7th St,1 bath,"1,292 sqft",(267) 506-0183 
Pendleton,http://www.zillow.com/homedetails/1304-SW-Frazer-Ave-Pendleton-OR-97801/84552078_zpid/,"$139,360 ","$109,000 ",97801,4 beds,,OR,1304 SW Frazer Ave,1.5 baths,"2,300 sqft",
Rancho Mirage,http://www.zillow.com/homedetails/51-Mission-Palms-East-Rancho-Mirage-CA-92270/2101015524_zpid/,"$646,125 ","$697,000 ",92270,3 beds,,CA,51 Mission Palms East,4 baths,"3,100 sqft",(760) 770-4088 
Tygh Valley,http://www.zillow.com/homedetails/82821-Highway-216-Tygh-Valley-OR-97063/86350049_zpid/,"$213,884 ","$250,000 ",97063,3 beds,,OR,82821 Highway 216,2 baths,"1,400 sqft",(541) 980-2521 
Coos Bay,http://www.zillow.com/homedetails/1830-Lincoln-Rd-Coos-Bay-OR-97420/75141096_zpid/,"$214,354 ","$259,500 ",97420,4 beds,,OR,1830 Lincoln Rd,3 baths,"1,920 sqft",(541) 267-0482 
Portola,http://www.zillow.com/homedetails/380-E-Magnolia-Ave-Portola-CA-96122/52928076_zpid/,"$160,745 ","$239,500 ",96122,3 beds,,CA,380 E Magnolia Ave,2 baths,"1,687 sqft",(916) 759-9996 
Eugene,http://www.zillow.com/homedetails/720-Vincent-St-Eugene-OR-97401/48382093_zpid/,"$307,401 ","$304,900 ",97401,4 beds,,OR,720 Vincent St,3 baths,"2,154 sqft",(541) 521-6822 
Camano Island,http://www.zillow.com/homedetails/10-Edgewater-Dr-Camano-Island-WA-98282/60896263_zpid/,"$519,704 ","$489,999 ",98282,2 beds,,WA,10 Edgewater Dr,2 baths,"1,376 sqft",(360) 840-9853 
Alpaugh,http://www.zillow.com/homedetails/5017-Road-42-Alpaugh-CA-93201/83353081_zpid/,"$191,128 ","$245,000 ",93201,3 beds,,CA,5017 Road 42,2 baths,"1,800 sqft",(818) 633-4618 
Blue River,http://www.zillow.com/homedetails/54436-Mckenzie-Riverside-Dr-Blue-River-OR-97413/2101939192_zpid/,"$135,606 ","$199,000 ",97413,1 bed,,OR,54436 Mckenzie Riverside Dr,1 bath,480 sqft,(541) 639-7009 
Shamokin,http://www.zillow.com/homedetails/220-S-7th-St-Shamokin-PA-17872/78725073_zpid/,"$30,274 ","$25,000 ",17872,2 beds,,PA,220 S 7th St,2 baths,#NAME?,(570) 898-8465 
Cloquet,http://www.zillow.com/homedetails/404-Ridgewood-Dr-Cloquet-MN-55720/2144289625_zpid/,"$249,702 ","$285,000 ",55720,4 beds,,MN,404 Ridgewood Dr,2.5 baths,"2,250 sqft",
Brainerd,http://www.zillow.com/homedetails/9799-Lakeside-Road-1-Brainerd-MN-56401/2100477719_zpid/,,"$61,995 ",56401,2 beds,,MN,9799 Lakeside Road #1,1 bath,400 sqft,(320) 291-1552 
Adams,http://www.zillow.com/homedetails/280-Center-St-Adams-OR-97810/84557523_zpid/,"$311,429 ","$297,000 ",97810,5 beds,,OR,280 Center St,3 baths,"3,452 sqft",(541) 379-1903 
Pendleton,http://www.zillow.com/homedetails/203-NW-5th-St-Pendleton-OR-97801/84553023_zpid/,"$171,189 ","$269,000 ",97801,4 beds,,OR,203 NW 5th St,1.5 baths,"2,416 sqft",(541) 310-0680 
Sauk Rapids,http://www.zillow.com/homedetails/5175-NE-River-Rd-Sauk-Rapids-MN-56379/91429160_zpid/,"$407,393 ","$549,900 ",56379,5 beds,,MN,5175 NE River Rd,4 baths,"3,600 sqft",(320) 428-4866 
Saint Paul,http://www.zillow.com/homedetails/1898-Kathleen-Dr-Saint-Paul-MN-55118/1692308_zpid/,"$144,872 ","$179,999 ",55118,3 beds,,MN,1898 Kathleen Dr,1 bath,918 sqft,
Golden Valley,http://www.zillow.com/homedetails/6466-Westchester-Cir-Golden-Valley-MN-55427/1995492_zpid/,"$743,919 ","$849,900 ",55427,5 beds,,MN,6466 Westchester Cir,5 baths,"5,344 sqft",(612) 919-3956 
Winona,http://www.zillow.com/homedetails/467-E-3rd-St-Winona-MN-55987/102950681_zpid/,"$101,555 ","$140,000 ",55987,2 beds,,MN,467 E 3rd St,1.5 baths,"1,300 sqft",(507) 452-5737 
Saint Paul,http://www.zillow.com/homedetails/132-Demont-Ave-E-APT-325-Saint-Paul-MN-55117/2054972_zpid/,"$71,627 ","$78,000 ",55117,2 beds,,MN,132 Demont Ave E APT 325,1.75 baths,990 sqft,(651) 356-2936 
Minneapolis,http://www.zillow.com/homedetails/2732-Grand-Ave-S-APT-4-Minneapolis-MN-55408/71820183_zpid/,"$108,474 ","$79,000 ",55408,Studio,,MN,2732 Grand Ave S APT 4,1 bath,435 sqft,(715) 864-9689 
Minneapolis,http://www.zillow.com/homedetails/110-Bank-St-SE-APT-2102-Minneapolis-MN-55414/2101181892_zpid/,"$296,657 ","$799,000 ",55414,2 beds,,MN,110 Bank St SE APT 2102,2 baths,"1,536 sqft",
